+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1012]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1008]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1009]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1001]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1016]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1003]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1005]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[988]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1011]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1006]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1014]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1007]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[981]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1010]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[983]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[986]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1008]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1004]/D|
