+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1013]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1015]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1018]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1021]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1023]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1016]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1017]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1019]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1024]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1022]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1020]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1009]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1011]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1017]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1014]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1019]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1012]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1013]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1015]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1022]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1020]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1018]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1016]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1005]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1007]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1013]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1010]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1015]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1008]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1009]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1018]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1011]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1016]/D|
